Time,Time_ms,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,LapNumber,Stint,Compound,is_pit_lap,TrackTemp,AirTemp,Rainfall,weather,corner_id,track_segment,hard_brake,full_throttle,driver,event,year,session
1970-01-01 00:00:00.075,75,0.0,10687.0,1.0,19.0,True,0.0,0.0,0.0,2751.0,-1877.0,694.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.315,315,0.0,10830.0,1.0,19.0,True,0.0,0.0,0.0,2751.0,-1877.0,694.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.754,754,7.0,10830.0,1.0,19.0,False,0.0,0.8536111111111111,0.00015878963953666692,2755.0,-1882.0,694.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.034,1034,17.0,10830.0,1.0,19.0,False,0.0,2.1758333333333333,0.00040475081239528543,2762.0,-1890.0,694.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.354,1354,26.0,10830.0,1.0,19.0,False,0.0,4.486944444444445,0.0008346661397448036,2775.0,-1905.0,693.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.594,1594,36.0,9430.0,1.0,44.0,False,0.0,6.886944444444445,0.00128111667199238,2789.0,-1922.0,693.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.874,1874,43.0,7470.0,1.0,51.0,False,0.0,10.23138888888889,0.0019032537562818268,2804.0,-1940.0,692.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.115,2115,55.0,6722.0,1.0,57.0,False,0.0,13.913333333333336,0.002588172946668589,2824.0,-1963.0,691.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.395,2395,65.0,7007.0,1.0,61.0,False,0.0,18.968888888888888,0.003528612725245659,2849.0,-1992.0,689.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.595,2595,73.0,8162.0,1.0,71.0,False,0.0,23.02444444444445,0.004283031448719574,2880.0,-2028.0,688.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.755,2755,73.0,9002.0,1.0,76.0,False,0.0,26.26888888888889,0.004886566427498704,2900.0,-2053.0,687.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.075,3075,82.0,9170.0,1.0,76.0,False,0.0,33.55777777777779,0.006242453229139493,2924.0,-2080.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.395,3395,82.0,9170.0,1.0,76.0,False,0.0,40.84666666666667,0.0075983400307802805,2963.0,-2126.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.595,3595,82.0,9170.0,1.0,76.0,True,0.0,45.40222222222223,0.008445769281805774,3004.0,-2173.0,684.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.955,3955,86.0,9170.0,1.0,104.0,True,0.0,54.00222222222223,0.010045550355692922,3019.0,-2192.0,683.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.275,4275,91.0,9170.0,1.0,104.0,True,0.0,62.091111111111125,0.011550254001416236,3065.0,-2245.0,681.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.595,4595,91.0,9170.0,1.0,104.0,True,0.0,70.18,0.013054957647139548,3117.0,-2306.0,678.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.835,4835,91.0,9170.0,1.0,104.0,True,0.0,76.24666666666668,0.014183485381432034,3175.0,-2373.0,676.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.995,4995,91.0,9170.0,1.0,104.0,True,0.0,80.29111111111114,0.014935837204293692,3257.0,-2469.0,672.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:05.275,5275,91.0,9170.0,1.0,104.0,True,0.0,87.36888888888892,0.01625245289430159,3393.0,-2627.0,667.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:05.555,5555,91.0,9170.0,1.0,104.0,True,0.0,94.44666666666669,0.01756906858430949,3507.0,-2761.0,662.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:05.915,5915,91.0,9170.0,1.0,76.0,False,0.0,103.5466666666667,0.019261860185748218,3608.0,-2879.0,657.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:06.075,6075,91.0,9170.0,1.0,76.0,False,0.0,107.59111111111115,0.020014212008609877,3727.0,-3019.0,652.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:06.275,6275,91.0,9170.0,1.0,76.0,False,0.0,112.6466666666667,0.02095465178718695,3793.0,-3096.0,648.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:06.475,6475,91.0,9170.0,1.0,76.0,False,0.0,117.70222222222225,0.021895091565764014,3917.0,-3243.0,644.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:06.715,6715,91.0,9170.0,1.0,104.0,True,0.0,123.76888888888892,0.023023619300056503,4246.0,-3631.0,630.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:06.915,6915,91.0,9170.0,1.0,104.0,True,0.0,128.82444444444448,0.023964059078633575,4392.0,-3804.0,623.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:07.075,7075,91.0,9170.0,1.0,104.0,True,0.0,132.86888888888893,0.02471641090149523,4437.0,-3856.0,622.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:07.395,7395,91.0,9170.0,1.0,104.0,True,0.0,140.9577777777778,0.02622111454721854,4527.0,-3962.0,618.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:07.754,7754,91.0,9170.0,1.0,104.0,True,0.0,150.03250000000003,0.027909203949764382,4646.0,-4101.0,613.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:07.954,7954,91.0,9170.0,1.0,104.0,True,0.0,155.0880555555556,0.028849643728341458,4773.0,-4251.0,607.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:08.354,8354,91.0,10892.0,1.0,99.0,True,0.0,165.19916666666668,0.03073052328549559,4847.0,-4336.0,604.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:08.554,8554,91.0,10892.0,1.0,99.0,True,0.0,170.25472222222226,0.03167096306407267,4920.0,-4422.0,601.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:08.835,8835,91.0,10892.0,1.0,99.0,True,0.0,177.3577777777778,0.03299228095297345,4993.0,-4508.0,598.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:09.195,9195,91.0,10892.0,1.0,104.0,True,0.0,186.4577777777778,0.03468507255441218,5139.0,-4679.0,592.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:09.435,9435,91.0,10892.0,1.0,104.0,True,0.0,192.52444444444447,0.03581360028870466,5239.0,-4798.0,588.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:09.795,9795,91.0,10892.0,1.0,104.0,True,0.0,201.62444444444446,0.03750639189014339,5303.0,-4873.0,585.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:10.035,10035,91.0,10892.0,1.0,104.0,True,0.0,207.69111111111113,0.038634919624435875,5382.0,-4967.0,582.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:10.355,10355,91.0,10892.0,1.0,104.0,True,0.0,215.78000000000003,0.040139623270159186,5541.0,-5155.0,576.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:10.555,10555,91.0,10892.0,1.0,104.0,True,0.0,220.83555555555557,0.04108006304873626,5685.0,-5333.0,570.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:10.715,10715,91.0,10892.0,1.0,104.0,True,0.0,224.88000000000002,0.04183241487159791,5786.0,-5466.0,566.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:10.915,10915,91.0,10892.0,1.0,104.0,True,0.0,229.93555555555557,0.04277285465017498,5902.0,-5686.0,558.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:11.235,11235,91.0,10892.0,1.0,104.0,True,0.0,238.02444444444447,0.0442775582958983,5937.0,-5806.0,554.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:11.475,11475,183.0,11373.0,1.0,11.0,True,0.0,250.2244444444445,0.04654701516815681,5960.0,-5998.0,549.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:11.715,11715,182.0,11396.0,1.0,30.0,False,0.0,262.3577777777778,0.04880407063674178,5956.0,-6109.0,546.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:11.995,11995,182.0,11396.0,4.0,30.0,False,0.0,276.5133333333333,0.05143730201675757,5943.0,-6200.0,545.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:12.195,12195,182.0,11230.0,4.0,41.0,False,0.0,286.62444444444446,0.053318181573911716,5902.0,-6380.0,542.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:12.435,12435,182.0,11230.0,4.0,41.0,False,0.0,298.7577777777778,0.055575237042496686,5862.0,-6524.0,542.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:12.675,12675,182.0,11230.0,4.0,41.0,False,0.0,310.8911111111111,0.05783229251108166,5846.0,-6573.0,543.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:12.875,12875,182.0,11230.0,4.0,41.0,False,0.0,321.0022222222222,0.059713172068235794,5822.0,-6637.0,542.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:13.155,13155,182.0,11230.0,4.0,41.0,False,0.0,335.1577777777777,0.06234640344825158,5730.0,-6793.0,544.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:13.435,13435,182.0,11230.0,4.0,104.0,True,0.0,349.31333333333333,0.0649796348282674,5676.0,-6850.0,544.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:13.675,13675,182.0,11230.0,4.0,104.0,True,0.0,361.44666666666666,0.06723669029685236,5558.0,-6932.0,546.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:13.915,13915,181.0,11230.0,4.0,104.0,True,0.0,373.51333333333326,0.06948134436176377,5438.0,-6979.0,548.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:14.115,14115,181.0,11346.0,4.0,39.0,True,0.0,383.56888888888886,0.07135188941585664,5334.0,-7000.0,550.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:14.354,14354,181.0,11346.0,4.0,39.0,True,0.0,395.5852777777777,0.07358719075549759,5203.0,-7006.0,553.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:14.594,14594,181.0,11346.0,4.0,39.0,True,0.0,407.6519444444444,0.07583184482040901,5141.0,-7001.0,555.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:14.914,14914,181.0,11346.0,4.0,39.0,True,0.0,423.7408333333333,0.07882471690695758,5087.0,-6992.0,557.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:15.074,15074,181.0,11346.0,4.0,104.0,True,0.0,431.78527777777776,0.08032115295023187,4988.0,-6962.0,560.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:15.275,15275,181.0,11346.0,4.0,104.0,True,0.0,441.8911111111111,0.0822010507295952,4860.0,-6895.0,565.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:15.555,15555,181.0,11346.0,4.0,104.0,True,0.0,455.96888888888884,0.08481981380532519,4805.0,-6853.0,567.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:15.795,15795,181.0,11346.0,4.0,104.0,True,0.0,468.0355555555555,0.08706446787023661,4735.0,-6784.0,569.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:16.035,16035,181.0,11346.0,4.0,104.0,True,0.0,480.10222222222217,0.08930912193514803,4684.0,-6722.0,570.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:16.195,16195,181.0,11346.0,4.0,104.0,True,0.0,488.14666666666665,0.09080555797842232,4668.0,-6701.0,571.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:16.435,16435,181.0,11346.0,4.0,104.0,True,0.0,500.21333333333325,0.09305021204333375,4569.0,-6554.0,573.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:16.675,16675,181.0,11346.0,4.0,104.0,True,0.0,512.28,0.09529486610824518,4537.0,-6501.0,574.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:16.955,16955,181.0,11346.0,4.0,104.0,True,0.0,526.3577777777776,0.09791362918397516,4474.0,-6397.0,576.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:17.235,17235,181.0,11346.0,4.0,104.0,True,0.0,540.4355555555554,0.10053239225970516,4443.0,-6343.0,577.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:17.675,17675,181.0,11346.0,4.0,39.0,True,0.0,562.5577777777777,0.10464759137870944,4380.0,-6232.0,579.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:18.035,18035,181.0,10768.0,4.0,0.0,True,0.0,580.6577777777777,0.10801457247607658,4279.0,-6053.0,582.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:18.235,18235,181.0,10768.0,4.0,0.0,True,0.0,590.7133333333333,0.10988511753016944,4214.0,-5940.0,584.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:18.435,18435,181.0,10768.0,4.0,0.0,True,0.0,600.7688888888888,0.11175566258426228,4152.0,-5838.0,586.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:18.595,18595,181.0,10768.0,4.0,0.0,True,0.0,608.8133333333333,0.11325209862753657,4104.0,-5766.0,588.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:18.915,18915,181.0,10768.0,4.0,104.0,True,0.0,624.9022222222222,0.11624497071408516,4018.0,-5645.0,591.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
1970-01-01 00:00:19.075,19075,181.0,10768.0,4.0,104.0,True,0.0,632.9466666666667,0.11774140675735945,3898.0,-5497.0,594.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,30,Japanese Grand Prix,2026,R
