Time,Time_ms,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,LapNumber,Stint,Compound,is_pit_lap,TrackTemp,AirTemp,Rainfall,weather,corner_id,track_segment,hard_brake,full_throttle,driver,event,year,session
1970-01-01 00:00:00.075,75,0.0,10831.0,1.0,21.0,True,0.0,0.0,0.0,2957.0,-2118.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.315,315,0.0,10873.0,1.0,21.0,True,0.0,0.0,0.0,2957.0,-2118.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.754,754,9.0,9613.0,1.0,28.0,False,0.0,1.0975,0.0001944216774412985,2960.0,-2123.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.034,1034,16.0,7653.0,1.0,29.0,False,0.0,2.3419444444444446,0.0004148745032922267,2967.0,-2131.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.354,1354,27.0,6209.0,1.0,31.0,False,0.0,4.741944444444445,0.0008400335245761598,2979.0,-2145.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.594,1594,30.0,6362.0,1.0,34.0,False,0.0,6.741944444444445,0.0011943327089794372,2994.0,-2162.0,684.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.874,1874,33.0,6362.0,1.0,34.0,False,0.0,9.308611111111112,0.0016490166622969767,3007.0,-2178.0,684.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.115,2115,54.0,6816.0,1.0,38.0,False,0.0,12.923611111111114,0.002289412438105901,3026.0,-2199.0,683.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.395,2395,61.0,7309.0,1.0,61.0,False,0.0,17.668055555555554,0.003129888836662564,3048.0,-2225.0,682.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.595,2595,69.0,8289.0,1.0,67.0,False,0.0,21.50138888888889,0.003808962273435513,3079.0,-2261.0,680.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.755,2755,77.0,8749.0,1.0,71.0,False,0.0,24.923611111111107,0.004415207544525564,3100.0,-2286.0,679.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.075,3075,86.0,10204.0,1.0,75.0,False,0.0,32.56805555555556,0.005769417760466982,3121.0,-2311.0,678.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.395,3395,99.0,9729.0,1.0,80.0,False,0.0,41.36805555555556,0.007328334171841402,3161.0,-2357.0,677.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.595,3595,116.0,10849.0,2.0,100.0,False,0.0,47.81250000000001,0.008469964877140853,3199.0,-2401.0,675.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.955,3955,116.0,12461.0,2.0,100.0,False,0.0,59.4125,0.010524900146679861,3212.0,-2417.0,674.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.275,4275,139.0,11988.0,3.0,100.0,False,0.0,71.76805555555556,0.01271368177477122,3256.0,-2467.0,672.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.595,4595,139.0,11988.0,3.0,100.0,False,0.0,84.12361111111109,0.014902463402862573,3314.0,-2536.0,670.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.835,4835,139.0,11988.0,3.0,100.0,False,0.0,93.39027777777777,0.016544049623931096,3377.0,-2609.0,667.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.995,4995,139.0,11988.0,3.0,100.0,False,0.0,99.56805555555555,0.017638440437976775,3456.0,-2701.0,664.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
1970-01-01 00:00:05.275,5275,148.0,12408.0,3.0,100.0,False,0.0,111.07916666666667,0.01967762907709786,3581.0,-2848.0,659.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,1,41,Japanese Grand Prix,2026,R
