Time,Time_ms,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,LapNumber,Stint,Compound,is_pit_lap,TrackTemp,AirTemp,Rainfall,weather,corner_id,track_segment,hard_brake,full_throttle,driver,event,year,session
1970-01-01 00:00:00.075,75,0.0,11984.0,1.0,36.0,True,0.0,0.0,0.0,2655.0,-1765.0,699.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.315,315,0.0,12027.0,1.0,36.0,True,0.0,0.0,0.0,2655.0,-1765.0,699.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.754,754,13.0,10487.0,1.0,37.0,False,0.0,1.5852777777777778,0.00028985619130691455,2659.0,-1770.0,699.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.034,1034,19.0,8527.0,1.0,37.0,False,0.0,3.0630555555555556,0.0005600568112040208,2667.0,-1779.0,698.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.354,1354,29.0,7140.0,1.0,37.0,False,0.0,5.640833333333334,0.0010313842083177701,2680.0,-1794.0,697.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.594,1594,35.0,7140.0,1.0,37.0,False,0.0,7.974166666666667,0.0014580167660500432,2695.0,-1812.0,697.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.874,1874,42.0,6437.0,1.0,44.0,False,0.0,11.240833333333335,0.0020553023468752258,2710.0,-1830.0,696.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.115,2115,53.0,6771.0,1.0,49.0,False,0.0,14.788888888888891,0.002704037782579312,2730.0,-1853.0,695.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.395,2395,64.0,8096.0,1.0,61.0,False,0.0,19.766666666666666,0.0036141872390748273,2755.0,-1883.0,694.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.595,2595,73.0,8657.0,1.0,64.0,False,0.0,23.822222222222223,0.0043557152560856835,2788.0,-1921.0,692.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,55,Japanese Grand Prix,2026,R
