Time,Time_ms,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,LapNumber,Stint,Compound,is_pit_lap,TrackTemp,AirTemp,Rainfall,weather,corner_id,track_segment,hard_brake,full_throttle,driver,event,year,session
1970-01-01 00:00:00.075,75,0.0,12060.0,1.0,23.0,True,0.0,0.0,0.0,3224.0,-2430.0,674.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.315,315,0.0,12153.0,1.0,23.0,True,0.0,0.0,0.0,3224.0,-2430.0,674.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.754,754,9.0,9706.0,1.0,22.0,False,0.0,1.0975,0.0002000041408095971,3229.0,-2436.0,673.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.034,1034,16.0,7746.0,1.0,23.0,False,0.0,2.3419444444444446,0.0004267868669110892,3237.0,-2446.0,673.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.354,1354,23.0,6275.0,1.0,23.0,False,0.0,4.38638888888889,0.0007993584883635405,3252.0,-2463.0,673.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.594,1594,38.0,5833.0,1.0,29.0,False,0.0,6.919722222222223,0.001261023323641578,3269.0,-2483.0,672.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.874,1874,38.0,5833.0,1.0,29.0,False,0.0,9.875277777777779,0.0017996322981326215,3286.0,-2503.0,671.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.115,2115,61.0,7513.0,1.0,36.0,False,0.0,13.958888888888891,0.002543813739297362,3307.0,-2528.0,670.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.395,2395,61.0,9376.0,1.0,48.0,False,0.0,18.703333333333333,0.0034084228825592994,3335.0,-2560.0,669.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.595,2595,73.0,10360.0,1.0,49.0,False,0.0,22.75888888888889,0.004147491588157913,3370.0,-2601.0,668.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,1,Japanese Grand Prix,2026,R
