Time,Time_ms,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,LapNumber,Stint,Compound,is_pit_lap,TrackTemp,AirTemp,Rainfall,weather,corner_id,track_segment,hard_brake,full_throttle,driver,event,year,session
1970-01-01 00:00:00.075,75,0.0,10745.0,1.0,18.0,True,0.0,0.0,0.0,2931.0,-2089.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.315,315,0.0,11026.0,1.0,18.0,True,0.0,0.0,0.0,2931.0,-2089.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:00.754,754,5.0,9030.0,1.0,18.0,False,0.0,0.6097222222222222,0.00010838397177335728,2933.0,-2091.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.034,1034,10.0,7070.0,1.0,18.0,False,0.0,1.3875,0.00024664143007194515,2939.0,-2097.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.354,1354,25.0,6287.0,1.0,18.0,False,0.0,3.6097222222222225,0.000641662739496482,2950.0,-2110.0,686.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.594,1594,31.0,6449.0,1.0,19.0,False,0.0,5.676388888888889,0.001009032557261301,2963.0,-2125.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:01.874,1874,39.0,6840.0,1.0,21.0,False,0.0,8.709722222222222,0.0015482366446257939,2975.0,-2140.0,685.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.115,2115,42.0,6783.0,1.0,25.0,False,0.0,11.52138888888889,0.0020480373563751893,2992.0,-2159.0,684.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.395,2395,56.0,6588.0,1.0,25.0,False,0.0,15.876944444444442,0.002822279122847281,3013.0,-2185.0,683.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.595,2595,63.0,7302.0,1.0,40.0,False,0.0,19.376944444444444,0.003444437685190927,3041.0,-2217.0,682.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:02.755,2755,70.0,8028.0,1.0,46.0,False,0.0,22.488055555555547,0.003997467518385277,3060.0,-2239.0,681.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.075,3075,73.0,8028.0,1.0,46.0,False,0.0,28.97694444444444,0.005150929741904925,3081.0,-2263.0,680.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.395,3395,76.0,8857.0,1.0,51.0,False,0.0,35.732499999999995,0.006351794522555516,3114.0,-2302.0,679.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.595,3595,83.0,8857.0,1.0,51.0,False,0.0,40.34361111111111,0.0071714637396114314,3147.0,-2341.0,677.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:03.955,3955,97.0,10537.0,1.0,69.0,False,0.0,50.043611111111105,0.008895731755249534,3161.0,-2357.0,677.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.275,4275,97.0,11825.0,1.0,69.0,False,0.0,58.66583333333333,0.010428414435816737,3198.0,-2400.0,675.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
1970-01-01 00:00:04.595,4595,115.0,12105.0,1.0,69.0,False,0.0,68.88805555555554,0.012245512459169603,3249.0,-2460.0,673.0,1.0,1.0,MEDIUM,0,29.2,17.3,False,DRY,0,STRAIGHT,0,0,3,Japanese Grand Prix,2026,R
